epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7022036910057068,0.8150877952575684,0.001,0.7716666460037231,0.6132283806800842
1,0.800611138343811,0.5370582938194275,0.001,0.7116666436195374,0.802101731300354
2,0.8294259309768677,0.4628700911998749,0.001,0.8539999723434448,0.4055633842945099
3,0.8437777757644653,0.4190940856933594,0.001,0.8118333220481873,0.5160405039787292
4,0.8556296229362488,0.3868411183357239,0.001,0.8709999918937683,0.3564817011356354
5,0.8647222518920898,0.36295631527900696,0.001,0.8370000123977661,0.4325617551803589
6,0.8712037205696106,0.3421642780303955,0.001,0.8274999856948853,0.4727671444416046
7,0.8864259123802185,0.30535659193992615,0.0005,0.887666642665863,0.3032071590423584
8,0.8900555372238159,0.29498761892318726,0.0005,0.843999981880188,0.40533626079559326
9,0.8933518528938293,0.2837378680706024,0.0005,0.8644999861717224,0.3715818226337433
10,0.9020925760269165,0.2642216682434082,0.00025,0.8845000267028809,0.3163143992424011
11,0.905129611492157,0.256507933139801,0.00025,0.8700000047683716,0.35359856486320496
12,0.9088518619537354,0.24640698730945587,0.000125,0.8861666917800903,0.31461644172668457
13,0.9109259247779846,0.24012261629104614,0.000125,0.890666663646698,0.30655527114868164
14,0.912851870059967,0.23346394300460815,6.25e-05,0.8946666717529297,0.287792831659317
15,0.9129999876022339,0.23170825839042664,6.25e-05,0.8956666588783264,0.27968889474868774
16,0.9144814610481262,0.22931917011737823,6.25e-05,0.8931666612625122,0.292550653219223
17,0.9169259071350098,0.22497929632663727,6.25e-05,0.8958333134651184,0.28089144825935364
18,0.9151852130889893,0.2243136465549469,3.125e-05,0.9003333449363708,0.27302366495132446
19,0.9165925979614258,0.22271192073822021,3.125e-05,0.9021666646003723,0.2693233788013458
20,0.9173333048820496,0.22053444385528564,3.125e-05,0.9003333449363708,0.2737914025783539
21,0.9175184965133667,0.2198682576417923,3.125e-05,0.9018333554267883,0.271239697933197
22,0.9181666374206543,0.217715784907341,1.5625e-05,0.8995000123977661,0.2740442156791687
23,0.9207407236099243,0.21764475107192993,1.5625e-05,0.9004999995231628,0.2728463113307953
24,0.9198148250579834,0.21725612878799438,1e-05,0.9028333425521851,0.26857760548591614
